weight,stratum,psu,Sex,Race,Age,Grade,SexOrientation,HispanicLatino,Height,Weight,SexofSexualContact,SeatBealtUse,DrinkingDriver,DrivingDrinking,TextingDriving,WeaponCarryingSchool,GunCarrying,UnsafeAtSchool,InjuredInSchool,PhysicalFight,SchoolPhysicalFight,AttackedInNeighborhood,ForcedSexualIntercourse,SexualViolence,SexualAbuseByPartner,PhysicalDaitingViolence,Bullying,CyberBullying,Hopelessness,SuicideIdeation,SuicidePlan,SuicideAttempts,SuicideInjuryMedicalAttention,EverTriedCigarrette,FirstCigBefore13,CurrentlySmokingCigarette,MoreThan10CigPerDay,EverTriedVaping,CurrentlyVaping,StoreSourceVaping,CurrentlySmokelessTobacco,CurrentlySmokingCigar,QuitTobbaco,FirstAlcoholBefore13,CurrentlyAlcohol,CurrentlyBingeDrinking,MoreThan10Drinks,SomeoneSourceAlcohol,EverUsedMarihuana,FirstMarihuanaBefore13,CurrentlyUseMarihuana,EverUsedSyntheticMarihuana,PainMedicine,EverUsedCocaine,EverUsedInhalant,EverUsedHeroin,EverUsedMetha,EverUsedEcstasy,EverUsedInjectedIllegalDrug,OfferedDrugsSchool,EverHadSex,SexBefore13,Sex4OrMorePartners,SexuallyActive,AlcoholOrDrugsSex,UseCondom,BirthControl,VeryOverweight,WeightLoss,NoFruitJuice,NoFruit,NoSalad,NoPotatoes,NoCarrots,NoOtherVeggies,NoSoda,NoMilk,NoBreakfast,PhysicalActivity,ThreeOrMoreHoursTV,AttendedPEClass,SportsTeam,ConcussionSports,HIVTested,STDTested,DentistVisit,NotGoodMentalHealth,EightorMoreHoursSleep,Homelessness,CurrentPainMedicine,EverHallucinogenicDrugs,NoSportsDrinks,NoDrinksWater,ExcerciseMuscles,CovidNotGoodMentalHealth,CovidAdultLostJob,Sunburn,FeelCloseToPeople,ParentalMonitoring,DifficultyConcentrating,EnglishProficiency
2.9273,214,87643,Female,White,16,11,Heterosexual,2,1.57,62.6,4,0,0,NA,NA,0,0,0,0,0,0,0,1,NA,NA,1,1,0,1,1,0,0,0,1,0,0,NA,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1
2.622,214,87643,Male,Multiple-Hispanic,15,11,Heterosexual,1,1.65,50.35,2,0,0,NA,NA,1,1,0,0,1,1,0,1,0,NA,NA,1,1,1,1,1,0,0,1,0,1,0,1,0,NA,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1
2.3892,214,87643,Female,Multiple-Hispanic,16,11,Heterosexual,1,1.65,50.35,3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1
2.3892,214,87643,Female,Hispanic/Latino,15,11,Heterosexual,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
2.3892,214,87643,Female,Multiple-Hispanic,16,11,Heterosexual,1,1.63,61.24,4,1,1,NA,NA,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1
1.6094,214,87643,Female,Asian,16,11,Heterosexual,2,1.63,54.43,1,1,0,NA,NA,0,0,0,0,0,0,1,0,0,NA,NA,0,0,1,0,1,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,1,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1
2.3892,214,87643,Female,Hispanic/Latino,16,11,Heterosexual,1,1.6,72.58,3,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,1,1,1,0,0,0,0,0,NA,1,NA,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1
2.622,214,87643,Male,Multiple-Hispanic,16,11,Heterosexual,1,NA,NA,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1
1.038,201,787875,Male,White,17,12,Heterosexual,2,1.85,78.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0.9967,201,787875,Male,Multiple-Non-Hispanic,17,12,Heterosexual,2,1.93,129.28,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1
